Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
2600,1,1440,0.73,0.73,0.73,1,2600,0.0883,174,13,9,0.077,7,6300,39,29000,63360,60480,0.0227,
6600,0,1440,0.79,0.79,0.79,2,13300,0.2415,-0,17,4,0.118,3,32900,-1600,54900,4320,2880,0.3333,
2700,0,1440,0.78,0.78,0.78,3,5300,0.129,-3,13,5,0.231,0,0,-3,41200,339840,336960,0.0042,
3800,0,1440,0.78,0.78,0.78,2,7600,0.1465,15,14,5,0.143,0,0,28,51600,501120,499680,0.0029,
3200,0,1440,0.78,0.78,0.78,3,6400,0.163,16,8,4,0.375,0,0,-11,39300,N/A,0,0,
1300,0,1440,0.78,0.84,0.81,2,6400,0.4289,-245,6,3,0.333,2,7300,310,14900,21600,18720,0.0667,
1000,1,1440,0.48,0.52,0.5,2,2100,0.4999,-63,2,1,1,1,2100,-63,4200,N/A,0,0,
1000,US,1440,0.59,0.59,0.59,2,2000,0.1022,6,7,3,0.286,1,1100,-238,19600,N/A,0,0,
3100,0,1440,0.76,0.79,0.77,13,7400,0.2321,28,24,6,0.542,6,25100,24,31800,N/A,0,0,
1500,1,1440,0.26,0.24,0.25,2,4200,0.1559,-750,3,2,0.667,2,4500,-959,27100,691200,688320,0.0021,
1200,1,1440,0.12,0.12,0.12,1,1200,0.046,-209,3,2,0.333,2,4500,-959,27100,691200,688320,0.0021,
2700,1,1440,0.24,0.24,0.25,2,4200,0.1559,-750,3,2,0.667,2,4500,-959,27100,691200,688320,0.0021,
1600,0,1440,0.11,0.11,0.11,1,1600,0.0015,173,15,3,0.067,2,3200,-4300,1.1,25920,23040,0.0556,
2500,1,1440,0.46,0.48,0.5,19,13600,0.3345,-583,21,2,0.905,2,13300,-566,40500,145440,142560,0.0099,
2400,0,1440,0.77,0.77,0.77,2,4900,0.1456,6,16,5,0.125,0,0,2,33400,21600,18720,0.0667,
1200,1,1440,0.65,0.65,0.65,1,1200,0.6518,-12,1,1,1,1,1200,-12,1800,N/A,0,0,
1100,1,1440,0.12,0.12,0.12,1,1100,0.0223,81,7,7,0.143,7,2200,-226,49300,10080,7200,0.1429,
1400,1,1440,0.35,0.46,0.39,4,6400,0.2115,-55,14,6,0.286,2,2300,-814,30000,391680,388800,0.0037,
4000,0,1440,0.84,0.84,0.84,1,4000,0.7918,205,4,3,0.25,2,4200,220,5100,2880,0,0.5,
