Running hyperparameter search over 48 candidates with 3 runs each...
Trial 26/48 | params={'batch_size': 128, 'hidden_dim': 256, 'num_layers': 4, 'width_decay': 0.5, 'dropout': 0.0, 'activation': 'gelu', 'use_batch_norm': True, 'learning_rate': 0.0003, 'weight_decay': 0.0005, 'optimizer': 'adamw', 'use_pos_weight': False, 'epochs': 80} | mean_val_acc=0.8377±0.0008 | mean_val_loss=0.3969 | best_run_acc=0.8384 @ epoch 23
Trial 27/48 | params={'batch_size': 128, 'hidden_dim': 256, 'num_layers': 2, 'width_decay': 1.0, 'dropout': 0.0, 'activation': 'leaky_relu', 'use_batch_norm': False, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'optimizer': 'radam', 'use_pos_weight': True, 'epochs': 30} | mean_val_acc=0.8265±0.0020 | mean_val_loss=0.3869 | best_run_acc=0.8290 @ epoch 23
Trial 28/48 | params={'batch_size': 256, 'hidden_dim': 256, 'num_layers': 3, 'width_decay': 0.5, 'dropout': 0.3, 'activation': 'gelu', 'use_batch_norm': True, 'learning_rate': 0.002, 'weight_decay': 0.0005, 'optimizer': 'adamw', 'use_pos_weight': False, 'epochs': 30} | mean_val_acc=0.8365±0.0008 | mean_val_loss=0.3907 | best_run_acc=0.8371 @ epoch 25
Trial 29/48 | params={'batch_size': 128, 'hidden_dim': 64, 'num_layers': 4, 'width_decay': 1.0, 'dropout': 0.3, 'activation': 'gelu', 'use_batch_norm': False, 'learning_rate': 0.002, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'use_pos_weight': True, 'epochs': 30} | mean_val_acc=0.8281±0.0010 | mean_val_loss=0.3791 | best_run_acc=0.8295 @ epoch 18
Trial 30/48 | params={'batch_size': 64, 'hidden_dim': 256, 'num_layers': 3, 'width_decay': 0.7, 'dropout': 0.0, 'activation': 'relu', 'use_batch_norm': True, 'learning_rate': 0.001, 'weight_decay': 0.0005, 'optimizer': 'radam', 'use_pos_weight': False, 'epochs': 30} | mean_val_acc=0.8412±0.0027 | mean_val_loss=0.3875 | best_run_acc=0.8451 @ epoch 21
Trial 31/48 | params={'batch_size': 128, 'hidden_dim': 256, 'num_layers': 3, 'width_decay': 0.7, 'dropout': 0.0, 'activation': 'gelu', 'use_batch_norm': True, 'learning_rate': 0.0005, 'weight_decay': 0.0, 'optimizer': 'radam', 'use_pos_weight': False, 'epochs': 30} | mean_val_acc=0.8372±0.0016 | mean_val_loss=0.3901 | best_run_acc=0.8393 @ epoch 22
Trial 32/48 | params={'batch_size': 256, 'hidden_dim': 256, 'num_layers': 3, 'width_decay': 0.5, 'dropout': 0.1, 'activation': 'relu', 'use_batch_norm': False, 'learning_rate': 0.002, 'weight_decay': 1e-05, 'optimizer': 'adamw', 'use_pos_weight': False, 'epochs': 80} | mean_val_acc=0.8503±0.0011 | mean_val_loss=0.3909 | best_run_acc=0.8518 @ epoch 54
Trial 33/48 | params={'batch_size': 64, 'hidden_dim': 128, 'num_layers': 4, 'width_decay': 0.5, 'dropout': 0.2, 'activation': 'gelu', 'use_batch_norm': True, 'learning_rate': 0.0005, 'weight_decay': 0.0001, 'optimizer': 'adamw', 'use_pos_weight': True, 'epochs': 30} | mean_val_acc=0.8281±0.0017 | mean_val_loss=0.3833 | best_run_acc=0.8299 @ epoch 29
Trial 34/48 | params={'batch_size': 256, 'hidden_dim': 256, 'num_layers': 2, 'width_decay': 0.5, 'dropout': 0.1, 'activation': 'leaky_relu', 'use_batch_norm': True, 'learning_rate': 0.0005, 'weight_decay': 0.0005, 'optimizer': 'adamw', 'use_pos_weight': True, 'epochs': 50} | mean_val_acc=0.8354±0.0018 | mean_val_loss=0.3782 | best_run_acc=0.8380 @ epoch 38
Trial 35/48 | params={'batch_size': 256, 'hidden_dim': 256, 'num_layers': 3, 'width_decay': 1.0, 'dropout': 0.0, 'activation': 'relu', 'use_batch_norm': False, 'learning_rate': 0.0003, 'weight_decay': 0.0001, 'optimizer': 'radam', 'use_pos_weight': True, 'epochs': 80} | mean_val_acc=0.8366±0.0015 | mean_val_loss=0.3729 | best_run_acc=0.8384 @ epoch 37
