Size,Bet,Time,Price,Entry,Avg,Market Trades,Market Volume,Volume Conc.,Market PnL,Total Trades,Unique Markets,Trade Conc.,Open Positions,O.P. Value,Tot.PnL,Tot.Vol,Wallet Age,WC/TX Delta,WC/TX %,Outcome
1700,1,720,0.51,0.29,0.28,10,3600,0.274,523,14,3,0.714,2,1500,1300,13000,252000,252000,0,
2500,1,720,0.74,0.74,0.74,1,2500,0.0164,-15,25,20,0.04,12,7100,4700,152800,66240,64800,0,
2100,1,720,0.69,0.44,0.67,9,22000,0.5084,1400,14,5,0.643,2,7800,5200,43200,,0,0,
2800,1,720,0.35,0.35,0.35,1,2800,0.1338,459,4,3,0.25,2,5500,3900,21000,1440,1440,0,
1400,1,720,0.68,0.44,0.67,9,22000,0.5084,1400,14,5,0.643,2,7800,5200,43200,,0,0,
2400,1,720,0.68,0.68,0.68,1,2400,0.1193,209,13,9,0.077,7,2600,1100,20300,,0,0,
1900,1,720,0.31,0.31,0.44,2,2000,0.0607,509,4,2,0.5,1,2500,11400,32900,1440,0,0,
3400,0,720,0.74,0.17,0.39,6,17000,0.0648,758,18,4,0.333,1,2900,-5500,262400,,0,0,
2500,1,720,0.71,0.71,0.71,3,5100,0.0943,-14,12,6,0.25,4,2300,1700,53700,31680,30240,0,
8700,0,720,0.86,0.86,0.86,3,30300,0.1661,-176,12,5,0.25,3,48700,-881,182600,1092960,1091520,0,
1300,1,780,0.75,0.75,0.75,1,1300,0.256,308,5,4,0.2,3,1600,332,5100,426240,424800,0,1
2500,1,780,0.48,0.55,0.51,2,5000,0.3168,2200,5,4,0.4,3,7200,1700,15800,741600,740160,0,
1900,0,780,0.86,0.86,0.86,3,30300,0.1661,-176,12,5,0.25,3,48700,-881,182600,1092960,1091520,0,
4200,1,780,0.24,0.24,0.24,1,4200,0.0232,732,12,5,0.083,3,48700,-881,182600,1092960,1091520,0,
1100,Israel,780,0.73,0.73,0.73,1,1100,0.7292,-85,1,1,1,1,992,-85,1500,,0,0,
1200,1,780,0.45,0.45,0.45,1,1200,0.0342,-11,7,5,0.143,4,1200,-3800,35700,57600,56160,0,
2500,1,780,0.45,0.45,0.45,1,2500,0.0663,-28,10,6,0.1,4,2500,-2500,37600,38880,37440,0,
1000,0,780,0.5,0.84,0.56,10,21500,0.3849,-30,22,9,0.455,2,11500,7300,56000,21600,20160,0,
10000,0,780,0.86,0.86,0.86,1,10000,0.1334,-153,11,4,0.091,1,9800,-256,74700,,0,0,
1300,0,780,0.9,0.9,0.9,1,1300,0.1081,-427,22,15,0.045,1,833,-342,11700,15840,14400,0,
1000,1,780,0.52,0.51,0.51,2,3600,0.0399,1600,19,13,0.105,4,9900,8100,90700,7200,5760,0,
2800,1,780,0.84,0.84,0.84,1,2800,0.2092,20,15,5,0.067,2,2900,1500,13400,,0,0,
1600,1,780,0.27,0.27,0.27,1,1600,0.0123,45,11,8,0.091,5,6000,1900,132500,411840,411840,0,
2600,1,840,0.51,0.51,0.51,2,3600,0.0399,1600,19,13,0.105,4,9900,8100,90700,7200,5760,0,
2100,US,840,0.34,0.34,0.34,2,4100,0.1981,-142,10,8,0.2,7,2300,-305,20800,,0,0,
1600,1,840,0.49,0.49,0.49,2,3300,0.0245,12,11,8,0.182,5,6000,1900,132500,411840,411840,0,
5400,1,840,0.66,0.66,0.66,1,5400,0.3396,1100,6,5,0.167,2,6500,3500,15900,,0,0,1
1200,1,840,0.5,0.46,0.48,4,4400,0.1736,70,19,13,0.211,11,862,-200,25200,43200,41760,0,
1300,Israel,840,0.72,0.72,0.72,1,1300,0.1144,-81,5,3,0.2,2,1800,1300,11400,,0,0,
1200,1,840,0.49,0.5,0.49,14,6900,0.4928,3400,14,1,1,1,10300,3400,14000,900,0,0,
2200,1,840,0.56,0.32,0.43,4,6400,0.4631,51,5,2,0.8,1,2000,51,13800,,0,0,
1000,1,840,0.5,0.5,0.49,14,6900,0.4928,3400,14,1,1,1,10300,3400,14000,900,0,0,
1000,1,840,0.5,0.5,0.49,14,6900,0.4928,3400,14,1,1,1,10300,3400,14000,900,0,0,
2500,1,840,0.58,0.58,0.58,1,2500,0.3711,151,4,2,0.25,2,5100,1000,6800,,0,0,
2500,1,840,0.51,0.51,0.51,2,5100,0.172,79,24,7,0.083,3,2900,1200,29500,102240,100800,0,
5000,Israel,840,0.68,0.68,0.67,20,16700,0.4259,142,25,3,0.8,1,5000,239,39100,,0,0,
1500,1,900,0.19,0.19,0.19,1,1500,0.0049,-621,12,10,0.083,8,3900,2600,303600,,0,0,
1000,0,900,0.89,0.89,0.89,2,2100,0.1689,-4,16,6,0.125,3,1000,-28,12200,5760,4320,0,
1900,1,900,0.49,0.49,0.5,3,6900,0.2955,1100,6,4,0.5,2,3700,226,23500,,0,0,
2000,1,900,0.1,0.02,0.1,6,2900,0.0214,-1400,14,6,0.429,5,1300,8000,136400,,0,0,
1100,0,900,0.55,0.82,0.62,3,5400,0.7366,-1600,3,1,1,1,3900,-1600,7400,20160,18720,0,
3100,0,900,0.9,0.9,0.5,4,6700,0.2274,-17,21,7,0.19,3,3100,1400,29500,,0,0,
1100,1,900,0.11,0.22,0.12,9,8600,0.0644,-4300,20,6,0.45,4,5000,-12200,134000,77760,77760,0,
1800,1,900,0.72,0.72,0.72,1,1800,0.1959,-61,16,8,0.063,3,1800,1400,9400,,0,0,
2000,1,900,0.21,0.21,0.21,1,2000,0.2103,-684,2,2,0.5,2,1400,-683,9500,131040,129600,0,
2100,0,960,0.83,0.83,0.83,1,2100,0.1925,289,16,7,0.063,1,2400,838,10700,,0,0,
1200,1,960,0.53,0.44,0.48,2,2300,0.1252,-28,7,5,0.286,2,3500,2100,18700,31680,30240,0,
2000,0,960,0.48,0.48,0.48,1,2000,0.0207,198,21,11,0.048,6,2200,-4100,96400,207360,205920,0,
1900,Israel,960,0.71,0.72,0.73,3,23900,0.3463,-1200,7,4,0.429,3,28800,686,69000,432000,430560,0,
1600,1,960,0.78,0.78,0.78,1,1600,0.2226,-484,3,2,0.333,1,1100,-463,7300,,0,0,
3000,0,960,0.84,0.84,0.84,2,5000,0.0724,648,7,4,0.286,3,28800,686,69000,432000,430560,0,
5000,0,960,0.84,0.84,0.84,1,5000,0.1154,642,9,6,0.111,6,30900,-1200,43300,64800,63360,0,
1500,1,960,0.56,0.24,0.28,7,4200,0.1312,3000,25,9,0.28,6,11700,5400,32000,,0,0,
2000,0,960,0.84,0.84,0.84,2,5000,0.0724,648,7,4,0.286,3,28800,686,69000,432000,430560,0,
8100,0,960,0.81,0.82,0.81,16,19400,0.8097,25,18,2,0.889,2,19500,29,24000,1080,0,0,
